         0	0.01046111	0.00820627	0.00369660	-0.00339002	
         0	-0.01079876	0.00595144	0.00305236	-0.00177943	
         1	-0.01240936	-0.00049095	0.00369660	-0.00596698	
         2	0.00401872	-0.00274578	0.00144177	-0.00113519	
         3	0.01336018	0.00015329	-0.00016883	-0.00081307	
         4	0.01690349	0.00208601	-0.00306790	0.00240812	
         5	0.01690349	-0.00500062	-0.00306790	0.00723991	
         6	0.02431223	-0.00210154	-0.00177943	0.00595144	
         7	0.02109104	0.00337448	-0.00628909	0.00788415	
         8	0.00111965	-0.00177943	-0.00596698	0.00530720	
         9	-0.01305360	-0.00628909	-0.00435638	0.00434084	
        10	-0.00210154	-0.00532274	-0.00500062	0.00305236	
        11	0.00337448	-0.00564486	-0.00596698	-0.00049095	
        12	0.00627356	-0.00435638	-0.00306790	-0.00016883	
        13	0.00401872	0.01336018	0.00176389	-0.00242366	
        14	-0.00564486	0.02141316	-0.00177943	0.00530720	
        15	-0.01498631	0.01239382	-0.00081307	0.00337448	
        16	-0.01949598	0.02753343	-0.00306790	0.00305236	
        17	-0.00661121	-0.02948168	-0.00016883	0.00337448	
        18	0.00530720	-0.02851532	0.00305236	0.00176389	
        19	-0.00242366	-0.01079876	0.00273024	0.00047541	
        20	-0.01337572	-0.02175082	0.00144177	0.00144177	
        22	-0.00951029	-0.02593837	0.00111965	0.00401872	
        23	0.00015329	-0.01112088	0.00305236	-0.00016883	
        24	0.00530720	-0.00532274	0.00047541	0.00079753	
        25	0.00949475	0.00305236	-0.00016883	-0.00596698	
        26	0.01046111	0.03139886	0.00498508	-0.00918817	
        27	0.00562932	0.02624495	0.00627356	-0.00210154	
        28	-0.00016883	0.01013899	0.00369660	0.00047541	
        29	-0.00596698	0.00305236	-0.00081307	0.00337448	
        30	-0.01047664	-0.00049095	-0.00564486	-0.00403426	
        31	-0.01273148	-0.00081307	-0.00596698	-0.00242366	
        31	-0.01144300	0.01271594	-0.00371214	-0.00339002	
        32	-0.01305360	0.02753343	-0.00113519	-0.00113519	
        33	-0.01981810	0.02721131	-0.00081307	-0.00113519	
        34	-0.00628909	0.01625925	-0.00081307	0.00208601	
        35	0.00337448	0.00176389	0.00240812	0.00208601	
        37	0.00595144	-0.03205863	0.00144177	0.00240812	
        38	0.01078323	-0.02303929	-0.00210154	0.00498508	
        39	0.01464866	-0.00467850	0.00111965	0.00562932	
        40	0.01142746	-0.01595267	0.00273024	0.00820627	
        41	0.01883621	-0.04172221	0.00434084	0.00434084	
        42	0.00401872	-0.06137148	-0.00049095	0.00595144	
        43	0.00530720	0.00401872	0.00337448	0.00401872	
        44	-0.02819320	0.03107674	0.00273024	0.00079753	
        45	-0.01369784	0.01754773	-0.00306790	-0.00339002	
        46	0.01046111	0.01754773	-0.00306790	-0.00049095	
        47	0.01819197	0.00885051	-0.00242366	-0.00145731	
        47	0.02173528	0.01174958	0.00015329	-0.00306790	
        48	0.02978826	0.01464866	-0.00210154	-0.00854393	
        49	0.02302376	0.00305236	-0.00532274	-0.00725545	
        50	0.01690349	-0.01724115	-0.00242366	-0.00983241	
        51	-0.00339002	-0.04752036	-0.00371214	-0.00918817	
